Key,Korean (South Korea)(ko-KR),English(en),CH,JP
moor_2Scout_desc,역시 척박한 고향 사막에 돈을 벌어다 주기 위해 자원한 전문 용병. 어렸을 때부터 기동력 위주의 특수 훈련을 받았기에 유격대원으로 탁월한 실력을 보여준다. 긴 창을 공격뿐 아니라 바리케이트를 뛰어넘는 데 이용하여 방어 진영을 무력화해버린다.,"A professional mercenary who volunteered to earn money for a harsh desert homeland. Trained from childhood, she has high strength and stamina—and equally high pride. Her archery is brutal, clean, and efficient.",,
moor_2Assassin_name,용병단 살수,Trained Vaulter,,
moor_2Assassin_script,"""…내가 보여? 칫, 이번 한 번만 봐주지.""","""This? Consider it a warm-up.""",,
moor_2Assassin_desc,역시 척박한 고향 사막에 돈을 벌어다 주기 위해 자원한 전문 용병. 은신에 능한 엘리트만 살수로 은밀하게 훈련된다. 암살이 전문인 만큼 그 실체를 본 사람이 드물다는데 유독 조선에서는 자주 목격된다. 조선의 황금빛 들녘에 사막의 향수를 느껴 경계심이 흐트러졌다는 설이 유력하다.,"A professional mercenary trained from childhood for mobility. An excellent skirmisher, he uses a long spear both to attack and to vault over barricades, bypassing defensive lines with ease.",,
moor_2Medic_name,신기루 메딕,Mercenary Killer,,
moor_2Medic_script,"""이건 약이자 기도입니다. 피를 멈추는 주문, 들으셨죠?""","""...You can see me? Tch. Just this once, then.""",,
moor_2Medic_desc,"사막 부족 특유의 의술과 주문을 병행하는 치유사. 피를 멎게 하고, 뼈를 붙이고, 심지어 공포를 진정시키는 그녀의 손놀림은 신기루처럼 신비롭다. 정제된 수정을 사용하며, 그 안에서 흘러나오는 빛으로 아군을 회복시킨다. 치료라기보다는 의식에 가까운 행위다.","An elite mercenary trained in stealth and assassination. Few ever glimpse such killers, yet sightings are oddly common in Joseon. Some say the golden fields remind them of home and dull their desert-born caution.",,
moor_3Assassin_name,신기루 학살자,Mirage Medic,,
moor_3Assassin_script,"""살아남을 생각은 말아요. 이미 이름조차 지운 몸이니까.""","""Medicine and prayer. Now, stop bleeding.""",,
moor_3Assassin_desc,"무어 용병대 내에서도 ‘실체 없는 검’이라 불리는 그림자. 단독 잠입은 물론, 집단 학살도 맡는 극단적 암살자다. 그의 칼날은 맹독을 머금고 있어, 상처 하나로 수십 명을 무릎 꿇린다. 은신과 접근의 달인인 그는, 오늘도 적의 숨소리를 따라 칼을 뽑는다.","A healer who combines desert medicine with ritual magic. Her hands stop bleeding, mend bones, and calm fear with uncanny skill. Refined crystals channel restorative light, making each treatment feel like a rite.",,
moor_3Scout_name,신기루 레인저,Mirage Slayer,,
moor_3Scout_script,"""무엇이 가로막든… 넘는다. 그게 우리 방식이니까.""","""Don't plan on living. I've erased even my name.""",,
moor_3Scout_desc,"최정예 유격대 출신으로, 전장을 누비며 가장 빠르게 침투하는 척후병. 벽이든 구덩이든 장대창 하나로 단숨에 돌파한다. 그의 탄력 있는 장대창은 적을 찌르는 창이자, 장애물을 넘는 도약대다. 순간의 틈을 보고 달려드는 그의 실루엣은, 마치 신기루처럼 붙잡히지 않는다.","A shadow called the 'formless blade' even among Moor mercenaries. An extreme assassin skilled in infiltration and massacre, he coats his weapon in potent poison and follows the sound of enemy breath.",,
moor_3Warrior_name,신기루 돌격전사,Mirage Ranger,,
moor_3Warrior_script,"""멈추면 죽는다. 아주 간단한 이치잖아?""","""Whatever blocks the way, we cross it.""",,
moor_3Warrior_desc,"용병대의 최전방 돌격수. 방패로 길을 열고, 검으로 틈을 만든다. 그녀는 누구보다 빠르게 움직이며, 동료들의 발걸음마저 가볍게 만드는 기묘한 기운을 뿜어낸다. 신속기동 아우라는 단순한 기술이 아니라, 그녀의 삶 그 자체다. 움직이지 않으면 죽는 사막에서 온 그녀는 멈추는 법을 모른다.","An elite skirmisher who infiltrates faster than anyone. With a flexible pole-spear, he pierces enemies and vaults over walls or pits alike. Once he spots an opening, his silhouette vanishes like a mirage.",,
moor_4Queen_name,여명의 용병대장 뎀지무어,Mirage Charger,,
moor_4Queen_script,"""내 뒤에 서라. 적의 칼날이 너를 스치지도 못하게 해주지.""","""Stop moving and you die. Simple, isn't it?""",,
moor_4Queen_desc,"무어 용병대의 전설적인 대장. 전투력 하나로 용병 세계의 질서를 바꿔놓은 그는, 단순한 칼잡이를 넘어 전장의 버팀목이다. 호위 진형 아우라로 주변의 아군에게 금강불괴 상태를 부여한다. 그가 진형의 중심에 선 순간, 무리는 단순한 용병대가 아닌 ‘움직이는 요새’가 된다.","A frontline mercenary who opens paths with her shield and creates openings with her sword. Her Swift Feet aura lightens her allies' steps. Born in a desert where stopping means death, she never slows down.",,
moor_4QueenPriest_name,신기루사제 카탈라,Dawn Demjimor,,
moor_4QueenPriest_script,"""나의 목소리를 거역하는 자, 그저 무릎 꿇을 것이야.""","""Stand behind me. Their blades won't touch you.""",,
moor_4QueenPriest_desc,"카탈라는 더 이상 전장을 무기로 물들이지 않는다. 그녀는 말로, 설교로, 눈빛 하나로 적을 위축시킨다. 신탁의 서는 그녀의 무기이자 상징이며, 그 안에는 수많은 예언과 저주가 담겨 있다. 그녀의 앞에서 무릎 꿇는 건 신앙인가, 공포인가. 어느 쪽이든 결과는 같다. 복종뿐.","A legendary Moor captain whose strength reshaped the mercenary world. More than a swordsman, he anchors the battlefield. His guard aura grants Diamond Body, turning his formation into a moving fortress.",,
empire_5Priest_name,태양신관 해오름,Priestess Katala,,
empire_5Priest_script,"""내가 전하는 말은 곧 태양의 말일지니, 태양을 받들어라!""","""Defy my voice, and you will kneel.""",,
empire_5Priest_desc,"자신을 신의 대리자로 믿으며, 제국 이외의 사람들을 황제의 뜻을 모르는 미개한 자들로 생각하는 황제의 오른팔.","Katala no longer needs weapons to conquer a battlefield. Her voice, sermons, and gaze alone intimidate enemies. Her oracle book holds prophecies and curses; whether they kneel from faith or fear, the result is obedience.",,
